Data as of,Start week,End Week,State,Age group,Race and Hispanic Origin Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
09/16/2020,02-01-2020,09-12-2020,New York,Under 1 year,Non-Hispanic White,0,148,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,0-17 years,Non-Hispanic White,,273,,,,
09/16/2020,02-01-2020,09-12-2020,New York,1-4 years,Non-Hispanic White,0,23,0,0,,
09/16/2020,02-01-2020,09-12-2020,New York,5-14 years,Non-Hispanic White,,62,,,,
09/16/2020,02-01-2020,09-12-2020,New York,15-24 years,Non-Hispanic White,,331,,0,,
09/16/2020,02-01-2020,09-12-2020,New York,18-29 years,Non-Hispanic White,10,629,11,,,21
09/16/2020,02-01-2020,09-12-2020,New York,25-34 years,Non-Hispanic White,17,790,13,,,27
09/16/2020,02-01-2020,09-12-2020,New York,30-49 years,Non-Hispanic White,93,2488,101,37,,164
09/16/2020,02-01-2020,09-12-2020,New York,35-44 years,Non-Hispanic White,28,1181,40,,,63
09/16/2020,02-01-2020,09-12-2020,New York,45-54 years,Non-Hispanic White,155,2349,172,81,,250
09/16/2020,02-01-2020,09-12-2020,New York,50-64 years,Non-Hispanic White,625,7812,773,331,30,1095
09/16/2020,02-01-2020,09-12-2020,New York,55-64 years,Non-Hispanic White,526,6318,654,275,28,931
09/16/2020,02-01-2020,09-12-2020,New York,65-74 years,Non-Hispanic White,1269,10961,1328,620,36,2010
09/16/2020,02-01-2020,09-12-2020,New York,75-84 years,Non-Hispanic White,1968,15028,2007,932,38,3080
09/16/2020,02-01-2020,09-12-2020,New York,85 years and over,Non-Hispanic White,3420,24382,3297,1493,62,5280
09/16/2020,02-01-2020,09-12-2020,New York,Under 1 year,Non-Hispanic Black,0,67,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,0-17 years,Non-Hispanic Black,,94,0,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,1-4 years,Non-Hispanic Black,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,5-14 years,Non-Hispanic Black,0,10,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,15-24 years,Non-Hispanic Black,,106,,,,
09/16/2020,02-01-2020,09-12-2020,New York,18-29 years,Non-Hispanic Black,,198,,,,14
09/16/2020,02-01-2020,09-12-2020,New York,25-34 years,Non-Hispanic Black,16,243,14,,0,21
09/16/2020,02-01-2020,09-12-2020,New York,30-49 years,Non-Hispanic Black,78,633,60,42,,97
09/16/2020,02-01-2020,09-12-2020,New York,35-44 years,Non-Hispanic Black,41,276,29,24,0,46
09/16/2020,02-01-2020,09-12-2020,New York,45-54 years,Non-Hispanic Black,103,559,79,53,,130
09/16/2020,02-01-2020,09-12-2020,New York,50-64 years,Non-Hispanic Black,398,1627,259,187,,472
09/16/2020,02-01-2020,09-12-2020,New York,55-64 years,Non-Hispanic Black,323,1286,202,147,,380
09/16/2020,02-01-2020,09-12-2020,New York,65-74 years,Non-Hispanic Black,464,1548,354,240,,579
09/16/2020,02-01-2020,09-12-2020,New York,75-84 years,Non-Hispanic Black,506,1627,372,277,,605
09/16/2020,02-01-2020,09-12-2020,New York,85 years and over,Non-Hispanic Black,375,1467,295,190,,481
09/16/2020,02-01-2020,09-12-2020,New York,Under 1 year,Non-Hispanic American Indian or Alaska Native,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,0-17 years,Non-Hispanic American Indian or Alaska Native,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,1-4 years,Non-Hispanic American Indian or Alaska Native,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,5-14 years,Non-Hispanic American Indian or Alaska Native,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,15-24 years,Non-Hispanic American Indian or Alaska Native,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,18-29 years,Non-Hispanic American Indian or Alaska Native,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,25-34 years,Non-Hispanic American Indian or Alaska Native,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,30-49 years,Non-Hispanic American Indian or Alaska Native,,28,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,35-44 years,Non-Hispanic American Indian or Alaska Native,,17,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,45-54 years,Non-Hispanic American Indian or Alaska Native,0,15,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,50-64 years,Non-Hispanic American Indian or Alaska Native,,36,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,55-64 years,Non-Hispanic American Indian or Alaska Native,,27,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,65-74 years,Non-Hispanic American Indian or Alaska Native,,38,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,75-84 years,Non-Hispanic American Indian or Alaska Native,,41,,,0,10
09/16/2020,02-01-2020,09-12-2020,New York,85 years and over,Non-Hispanic American Indian or Alaska Native,,21,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,Under 1 year,Non-Hispanic Asian,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,0-17 years,Non-Hispanic Asian,,15,0,0,,
09/16/2020,02-01-2020,09-12-2020,New York,1-4 years,Non-Hispanic Asian,0,,0,0,,
09/16/2020,02-01-2020,09-12-2020,New York,5-14 years,Non-Hispanic Asian,,,0,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,15-24 years,Non-Hispanic Asian,,17,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,18-29 years,Non-Hispanic Asian,,28,,,,
09/16/2020,02-01-2020,09-12-2020,New York,25-34 years,Non-Hispanic Asian,,25,,,,
09/16/2020,02-01-2020,09-12-2020,New York,30-49 years,Non-Hispanic Asian,24,91,13,12,0,25
09/16/2020,02-01-2020,09-12-2020,New York,35-44 years,Non-Hispanic Asian,,41,,,0,10
09/16/2020,02-01-2020,09-12-2020,New York,45-54 years,Non-Hispanic Asian,27,89,18,13,0,32
09/16/2020,02-01-2020,09-12-2020,New York,50-64 years,Non-Hispanic Asian,91,236,55,45,0,101
09/16/2020,02-01-2020,09-12-2020,New York,55-64 years,Non-Hispanic Asian,77,185,45,40,0,82
09/16/2020,02-01-2020,09-12-2020,New York,65-74 years,Non-Hispanic Asian,131,318,80,65,,148
09/16/2020,02-01-2020,09-12-2020,New York,75-84 years,Non-Hispanic Asian,131,384,102,69,0,164
09/16/2020,02-01-2020,09-12-2020,New York,85 years and over,Non-Hispanic Asian,81,381,79,41,,121
09/16/2020,02-01-2020,09-12-2020,New York,Under 1 year,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,0-17 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,1-4 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,5-14 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,15-24 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,18-29 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,25-34 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,30-49 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,35-44 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,45-54 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,50-64 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,,,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,55-64 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,,,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,65-74 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,,,0,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,75-84 years,Non-Hispanic Native Hawaiian or Other Pacific Islander,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,85 years and over,Non-Hispanic Native Hawaiian or Other Pacific Islander,,,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,Under 1 year,Non-Hispanic More than one race,0,17,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,0-17 years,Non-Hispanic More than one race,0,22,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,1-4 years,Non-Hispanic More than one race,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,5-14 years,Non-Hispanic More than one race,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,15-24 years,Non-Hispanic More than one race,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,18-29 years,Non-Hispanic More than one race,0,14,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,25-34 years,Non-Hispanic More than one race,0,14,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,30-49 years,Non-Hispanic More than one race,0,25,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,35-44 years,Non-Hispanic More than one race,0,13,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,45-54 years,Non-Hispanic More than one race,,20,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,50-64 years,Non-Hispanic More than one race,,38,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,55-64 years,Non-Hispanic More than one race,,26,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,65-74 years,Non-Hispanic More than one race,,27,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,75-84 years,Non-Hispanic More than one race,,28,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,85 years and over,Non-Hispanic More than one race,,27,,,0,
09/16/2020,02-01-2020,09-12-2020,New York,Under 1 year,Hispanic,0,36,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,0-17 years,Hispanic,0,67,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,1-4 years,Hispanic,0,,0,0,0,0
09/16/2020,02-01-2020,09-12-2020,New York,5-14 years,Hispanic,0,13,,0,0,
09/16/2020,02-01-2020,09-12-2020,New York,15-24 years,Hispanic,,81,,,0,
